sample_id	tax_id	isolate	species	genus	subfamily	family	suborder	order	subclass	class	phylum	clade1	kingdom	clade	superkingdom	no rank
Acropora_acuminata_SLJPv1	367763	Acropora_acuminata_SLJPv1	Acropora acuminata	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_awi_SLJPv1	1929007	Acropora_awi_SLJPv1	Acropora awi	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_cytherea_SLJPv1	46686	Acropora_cytherea_SLJPv1	Acropora cytherea	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_digitifera_SLJPv2	70779	Acropora_digitifera_SLJPv2	Acropora digitifera	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_echinata_SLJPv1	513064	Acropora_echinata_SLJPv1	Acropora echinata	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_florida_SLJPv1	70782	Acropora_florida_SLJPv1	Acropora florida	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_gemmifera_SLJPv1	70780	Acropora_gemmifera_SLJPv1	Acropora gemmifera	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_hyacinthus_SLJPv1	55974	Acropora_hyacinthus_SLJPv1	Acropora hyacinthus	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_intermedia_SLJPv1	114500	Acropora_intermedia_SLJPv1	Acropora intermedia	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_microphthalma_SLJPv1	156436	Acropora_microphthalma_SLJPv1	Acropora microphthalma	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_millepora_JSIDv2.1	45264	Acropora_millepora_JSIDv2.1	Acropora millepora	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_muricata_SLJPv1	159855	Acropora_muricata_SLJPv1	Acropora muricata	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_nasuta_SLJPv1	70778	Acropora_nasuta_SLJPv1	Acropora nasuta	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_selago_SLJPv1	165727	Acropora_selago_SLJPv1	Acropora selago	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_tenuis_SLJPv1	70783	Acropora_tenuis_SLJPv1	Acropora tenuis	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Acropora_yongei_SLJPv1	117778	Acropora_yongei_SLJPv1	Acropora yongei	Acropora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Astreopora_myriophthalma_SLJPv2	102202	Astreopora_myriophthalma_SLJPv2	Astreopora myriophthalma	Astreopora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Fungia_spp_REEFv1	2635559	Fungia_spp_REEFv1	NA	Fungia	NA	Fungiidae	Fungiina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Galaxea_fascicularis_REEFv1	46745	Galaxea_fascicularis_REEFv1	Galaxea fascicularis	Galaxea	NA	Euphylliidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Goniastrea_aspera_REEFv1	1540031	Goniastrea_aspera_REEFv1	Coelastrea aspera	Coelastrea	NA	Merulinidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montastrea_cavernosa_FGUSv2	63558	Montastrea_cavernosa_FGUSv2	Montastraea cavernosa	Montastraea	NA	Montastraeidae	Faviina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montipora_cactus_SLJPv2	246299	Montipora_cactus_SLJPv2	Montipora cactus	Montipora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montipora_capitata_KBHIv3	46704	Montipora_capitata_KBHIv3	Montipora capitata	Montipora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montipora_capitata_WTHIv1.1	46704	Montipora_capitata_WTHIv1.1	Montipora capitata	Montipora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Montipora_efflorescens_SLJPv2	105610	Montipora_efflorescens_SLJPv2	Montipora efflorescens	Montipora	NA	Acroporidae	Astrocoeniina	Scleractinia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
