new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC
Galaxea_fascicularis_REEFv1___m1.4549.m1	1	1	adult_neuron_10	adult_neuron	2.29523855885152
Galaxea_fascicularis_REEFv1___m1.16758.m1	1	1	adult_neuron_13	adult_neuron	2.67479698069574
Galaxea_fascicularis_REEFv1___m1.5046.m1	1	1	adult_germline_sperm	adult_germline	4.55019498509859
Galaxea_fascicularis_REEFv1___m1.20328.m1	1	1	adult_neuron_13	adult_neuron	3.44086415607195
Galaxea_fascicularis_REEFv1___m1.5847.m1	1	1	adult_epidermis_2	adult_epidermis	2.12668352053031
Galaxea_fascicularis_REEFv1___m1.6503.m1	1	1	adult_mitotic_host_cells	adult_mitotic	4.28781788694897
Galaxea_fascicularis_REEFv1___m1.19920.m1	1	1	adult_gland_5	adult_gland	2.09981102734289
Galaxea_fascicularis_REEFv1___m1.4631.m1	1	1	adult_neuron_10	adult_neuron	2.02824255412532
Galaxea_fascicularis_REEFv1___m1.2312.m1	1	1	adult_germline_sperm	adult_germline	3.21398843885056
Galaxea_fascicularis_REEFv1___m1.3979.m1	1	1	adult_germline_sperm	adult_germline	2.44380030900042
Galaxea_fascicularis_REEFv1___m1.2316.m1	1	1	adult_germline_sperm	adult_germline	2.41560490105033
Galaxea_fascicularis_REEFv1___m1.14521.m1	1	1	adult_germline_sperm	adult_germline	3.51396388409395
Galaxea_fascicularis_REEFv1___m1.5684.m1	1	1	adult_immune_2	adult_immune	2.03092445591672
Galaxea_fascicularis_REEFv1___m1.2157.m1	1	1	adult_germline_sperm	adult_germline	3.42552436689157
Galaxea_fascicularis_REEFv1___m1.7801.m1	1	1	adult_unknown	adult_unknown	2.79494336085584
Galaxea_fascicularis_REEFv1___m1.17893.m1	1	1	adult_germline_sperm	adult_germline	5.29638157059697
Galaxea_fascicularis_REEFv1___m1.8854.m1	1	1	adult_germline_sperm	adult_germline	2.22985976927428
Galaxea_fascicularis_REEFv1___m1.10175.m1	1	1	adult_neuron_13	adult_neuron	3.82660625309805
Galaxea_fascicularis_REEFv1___m1.5327.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.24062397818527
Galaxea_fascicularis_REEFv1___m1.1583.m1	1	1	adult_neuron_10	adult_neuron	2.19500003702936
Galaxea_fascicularis_REEFv1___m1.5969.m1	1	1	adult_immune_2	adult_immune	2.37292479404243
Galaxea_fascicularis_REEFv1___m1.10261.m1	1	1	adult_neuron_12	adult_neuron	2.09303088972326
Galaxea_fascicularis_REEFv1___m1.13186.m1	1	1	adult_alga-hosting_cells	adult_alga-hosting	2.12802598442592
Galaxea_fascicularis_REEFv1___m1.2438.m1	1	1	adult_neuron_10	adult_neuron	2.16968101587198
Galaxea_fascicularis_REEFv1___m1.14643.m1	1	1	adult_gland_2	adult_gland	2.07746443860339
Galaxea_fascicularis_REEFv1___m1.6466.m1	1	1	adult_neuron_13	adult_neuron	2.00934614730798
Galaxea_fascicularis_REEFv1___m1.6462.m1	1	1	adult_germline_sperm	adult_germline	2.91827895578373
Galaxea_fascicularis_REEFv1___m1.3732.m1	1	1	adult_neuron_13	adult_neuron	2.41895155237205
Galaxea_fascicularis_REEFv1___m1.23453.m1	1	1	adult_neuron_13	adult_neuron	2.02408717411147
Galaxea_fascicularis_REEFv1___m1.16197.m1	1	1	adult_neuron_13	adult_neuron	2.31815545680365
Galaxea_fascicularis_REEFv1___m1.6902.m1	1	1	adult_neuron_13	adult_neuron	2.1934435817758
Galaxea_fascicularis_REEFv1___m1.6906.m1	1	1	adult_immune_2	adult_immune	2.25990569350634
Galaxea_fascicularis_REEFv1___m1.8615.m1	1	1	adult_neuron_13	adult_neuron	2.11650521435551
Galaxea_fascicularis_REEFv1___m1.14765.m1	1	1	adult_unknown	adult_unknown	2.00443728962064
Galaxea_fascicularis_REEFv1___m1.3057.m1	1	1	adult_neuron_10	adult_neuron	2.08378875572561
Galaxea_fascicularis_REEFv1___m1.13903.m1	1	1	adult_neuron_10	adult_neuron	2.01076507837889
Galaxea_fascicularis_REEFv1___m1.3854.m1	1	1	adult_gastrodermis_musclelike	adult_gastrodermis	2.23331744590576
Galaxea_fascicularis_REEFv1___m1.19644.m1	1	1	adult_neuron_10	adult_neuron	10.1295980307945
Galaxea_fascicularis_REEFv1___m1.5567.m1	1	1	adult_neuron_10	adult_neuron	2.17381213753678
Galaxea_fascicularis_REEFv1___m1.406.m1	1	1	adult_neuron_10	adult_neuron	2.20075429156747
Galaxea_fascicularis_REEFv1___m1.9595.m1	1	1	adult_epidermis_2	adult_epidermis	2.18137586455932
Galaxea_fascicularis_REEFv1___m1.14249.m1	1	1	adult_mitotic_host_cells	adult_mitotic	4.5509729655811
Galaxea_fascicularis_REEFv1___m1.1625.m1	1	1	adult_germline_sperm	adult_germline	2.27069344872896
Galaxea_fascicularis_REEFv1___m1.6865.m1	1	1	adult_germline_sperm	adult_germline	2.07103921829676
Galaxea_fascicularis_REEFv1___m1.6869.m1	1	1	adult_neuron_2	adult_neuron	2.8158903440382
Galaxea_fascicularis_REEFv1___m1.17415.m1	1	1	adult_germline_sperm	adult_germline	2.00315986033992
Galaxea_fascicularis_REEFv1___m1.14086.m1	1	1	adult_neuron_10	adult_neuron	2.19655551889376
Galaxea_fascicularis_REEFv1___m1.4993.m1	1	1	adult_gastrodermis	adult_gastrodermis	2.35881550795121
Galaxea_fascicularis_REEFv1___m1.19128.m1	1	1	adult_neuron_10	adult_neuron	2.00199748944616
Galaxea_fascicularis_REEFv1___m1.7362.m1	1	1	adult_neuron_10	adult_neuron	3.29202988268415
Galaxea_fascicularis_REEFv1___m1.889.m1	1	1	adult_germline_sperm	adult_germline	2.42575285493125
Galaxea_fascicularis_REEFv1___m1.11352.m1	1	1	adult_neuron_10	adult_neuron	2.26166874709077
Galaxea_fascicularis_REEFv1___m1.1101.m1	1	1	adult_neuron_13	adult_neuron	3.03373533279715
Galaxea_fascicularis_REEFv1___m1.6349.m1	1	1	adult_neuron_9	adult_neuron	3.21254404126005
Galaxea_fascicularis_REEFv1___m1.19766.m1	1	1	adult_mitotic_host_cells	adult_mitotic	2.88793480738343
Galaxea_fascicularis_REEFv1___m1.18554.m1	1	1	adult_germline_sperm	adult_germline	2.21647735649137
Galaxea_fascicularis_REEFv1___m1.4477.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.85561158199406
Galaxea_fascicularis_REEFv1___m1.18550.m1	1	1	adult_germline_sperm	adult_germline	2.44380030900042
Galaxea_fascicularis_REEFv1___m1.19210.m1	1	1	adult_neuron_13	adult_neuron	2.29128246470863
Galaxea_fascicularis_REEFv1___m1.2959.m1	1	1	adult_neuron_10	adult_neuron	3.17220868638573
Galaxea_fascicularis_REEFv1___m1.19409.m1	1	1	adult_germline_sperm	adult_germline	3.64059529763796
Galaxea_fascicularis_REEFv1___m1.18395.m1	1	1	adult_gland_7	adult_gland	2.39635213719496
Galaxea_fascicularis_REEFv1___m1.13952.m1	1	1	adult_gland_7	adult_gland	5.23051663436168
Galaxea_fascicularis_REEFv1___m1.23173.m1	1	1	adult_neuron_13	adult_neuron	2.68468936886213
Galaxea_fascicularis_REEFv1___m1.9356.m1	1	1	adult_immune_1	adult_immune	3.79583026600824
Galaxea_fascicularis_REEFv1___m1.15665.m1	1	1	adult_neuron_13	adult_neuron	2.70890040148584
Galaxea_fascicularis_REEFv1___m1.18030.m1	1	1	adult_neuron_10	adult_neuron	2.21719559885093
Galaxea_fascicularis_REEFv1___m1.18835.m1	1	1	adult_neuron_13	adult_neuron	3.65914101114251
Galaxea_fascicularis_REEFv1___m1.2882.m1	1	1	adult_alga-hosting_cells	adult_alga-hosting	2.19450832355268
Galaxea_fascicularis_REEFv1___m1.15304.m1	1	1	adult_neuron_13	adult_neuron	2.24813114233989
Galaxea_fascicularis_REEFv1___m1.646.m1	1	1	adult_alga-hosting_cells	adult_alga-hosting	2.22473731706687
Galaxea_fascicularis_REEFv1___m1.5605.m1	1	1	adult_neuron_10	adult_neuron	2.2686207522062
Galaxea_fascicularis_REEFv1___m1.19527.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.02717167722043
Galaxea_fascicularis_REEFv1___m1.16602.m1	1	1	adult_neuron_6	adult_neuron	2.5277600660329
Galaxea_fascicularis_REEFv1___m1.4238.m1	1	1	adult_gland_9	adult_gland	6.12911042039515
Galaxea_fascicularis_REEFv1___m1.20720.m1	1	1	adult_neuron_2	adult_neuron	3.25858609927214
Galaxea_fascicularis_REEFv1___m1.126.m1	1	1	adult_neuron_13	adult_neuron	2.1532574023949
Galaxea_fascicularis_REEFv1___m1.1349.m1	1	1	adult_gland_1	adult_gland	2.24262913481428
Galaxea_fascicularis_REEFv1___m1.17139.m1	1	1	adult_neuron_13	adult_neuron	2.85227573213085
Galaxea_fascicularis_REEFv1___m1.20200.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.30647226047388
Galaxea_fascicularis_REEFv1___m1.10023.m1	1	1	adult_neuron_10	adult_neuron	2.36177089882566
Galaxea_fascicularis_REEFv1___m1.3855.m1	1	1	adult_gland_2	adult_gland	2.00684206701785
Galaxea_fascicularis_REEFv1___m1.17936.m1	1	1	adult_neuron_13	adult_neuron	2.68655749099714
Galaxea_fascicularis_REEFv1___m1.9751.m1	1	1	adult_neuron_13	adult_neuron	2.30134358814418
Galaxea_fascicularis_REEFv1___m1.23576.m1	1	1	adult_neuron_10	adult_neuron	2.05981892714502
Galaxea_fascicularis_REEFv1___m1.2643.m1	1	1	adult_neuron_13	adult_neuron	2.58549351684279
Galaxea_fascicularis_REEFv1___m1.18437.m1	1	1	adult_germline_sperm	adult_germline	2.07103921829676
Galaxea_fascicularis_REEFv1___m1.20683.m1	1	1	adult_neuron_10	adult_neuron	4.20247779014631
Galaxea_fascicularis_REEFv1___m1.2123.m1	1	1	adult_calicoblast	adult_calicoblast	2.02272478233409
Galaxea_fascicularis_REEFv1___m1.1463.m1	1	1	adult_neuron_10	adult_neuron	2.7475462321773
Galaxea_fascicularis_REEFv1___m1.16041.m1	1	1	adult_neuron_10	adult_neuron	2.07804046947569
Galaxea_fascicularis_REEFv1___m1.15381.m1	1	1	adult_cnidocyte	adult_cnidocyte	2.11203341701044
Galaxea_fascicularis_REEFv1___m1.18714.m1	1	1	adult_neuron_7	adult_neuron	2.49800404446089
