new_name	cell_type_count	broad_type_count	cell_type	broad_type	FC	mid_range_cell_type_count	mid_range_broad_type_count
Galaxea_fascicularis_REEFv1___m1.3698.m1	1	1	adult_calicoblast	adult_calicoblast	3.17380780183154	8	1
Galaxea_fascicularis_REEFv1___m1.16758.m1	1	1	adult_neuron_13	adult_neuron	2.67479698069574	0	0
Galaxea_fascicularis_REEFv1___m1.5046.m1	1	1	adult_germline_sperm	adult_germline	4.55019498509859	1	1
Galaxea_fascicularis_REEFv1___m1.20328.m1	1	1	adult_neuron_13	adult_neuron	3.44086415607195	1	1
Galaxea_fascicularis_REEFv1___m1.6503.m1	1	1	adult_mitotic_host_cells	adult_mitotic	4.28781788694897	2	2
Galaxea_fascicularis_REEFv1___m1.9078.m1	2	1	adult_neuron_10	adult_neuron	3.91943161183144	3	1
Galaxea_fascicularis_REEFv1___m1.9078.m1	2	1	adult_neuron_9	adult_neuron	3.86689596434689	3	1
Galaxea_fascicularis_REEFv1___m1.9074.m1	1	1	adult_digestive_filaments	adult_digestive	2.68121820444693	8	1
Galaxea_fascicularis_REEFv1___m1.2312.m1	1	1	adult_germline_sperm	adult_germline	3.21398843885056	0	0
Galaxea_fascicularis_REEFv1___m1.14521.m1	1	1	adult_germline_sperm	adult_germline	3.51396388409395	0	0
Galaxea_fascicularis_REEFv1___m1.2157.m1	1	1	adult_germline_sperm	adult_germline	3.42552436689157	0	0
Galaxea_fascicularis_REEFv1___m1.7801.m1	1	1	adult_unknown	adult_unknown	2.79494336085584	0	0
Galaxea_fascicularis_REEFv1___m1.17893.m1	1	1	adult_germline_sperm	adult_germline	5.29638157059697	2	1
Galaxea_fascicularis_REEFv1___m1.9514.m1	1	1	adult_gland_3_digestive	adult_gland	34.1679329045824	4	2
Galaxea_fascicularis_REEFv1___m1.10175.m1	1	1	adult_neuron_13	adult_neuron	3.82660625309805	1	1
Galaxea_fascicularis_REEFv1___m1.6462.m1	1	1	adult_germline_sperm	adult_germline	2.91827895578373	0	0
Galaxea_fascicularis_REEFv1___m1.12775.m1	1	1	adult_alga-hosting_cells	adult_alga-hosting	2.80610749188841	3	1
Galaxea_fascicularis_REEFv1___m1.5250.m1	2	2	adult_neuron_10	adult_neuron	2.77234132953745	2	1
Galaxea_fascicularis_REEFv1___m1.5250.m1	2	2	adult_unknown	adult_unknown	2.74184994896541	2	1
Galaxea_fascicularis_REEFv1___m1.14484.m1	2	1	adult_gastrodermis_musclelike	adult_gastrodermis	2.71403228231162	4	1
Galaxea_fascicularis_REEFv1___m1.14484.m1	2	1	adult_gastrodermis	adult_gastrodermis	2.99848973146428	4	1
Galaxea_fascicularis_REEFv1___m1.14488.m1	5	2	adult_neuron_3	adult_neuron	2.57482625978379	6	2
Galaxea_fascicularis_REEFv1___m1.14488.m1	5	2	adult_neuron_4	adult_neuron	4.76135793903132	6	2
Galaxea_fascicularis_REEFv1___m1.14488.m1	5	2	adult_neuron_5	adult_neuron	4.6633909100095	6	2
Galaxea_fascicularis_REEFv1___m1.14488.m1	5	2	adult_gland_6	adult_gland	2.7030363703377	6	2
